element_id,en,cn
label_sessionSolution,"Session Shares",""
label_allTimeSolution,"Shares All Time",""
label_totalHR,"Total Hashrate",""
label_avgHR,"Avg Hashrate",""
label_networkDiff,"Network Diff",""
label_shareDiff,"Share Diff",""
miningMode,"Mining Settings",""
darkLightMode,"Dark Mode|Light Mode",""
label_poolDetails,"Enter Mining Pool Details",""
label_poolProvider,"Mining Pool",""
label_other,"other",""
advancedPoolSettings,"advanced|custom pool settings",""
label_stratumHost,"Pool Stratum Custom Host",""
label_stratumPort,"Pool Stratum Custom Port",""
label_miningUser,"Mining User",""
label_miningPass,"Mining Password",""
label_savePool,"Save Mining Pool Details",""
label_escHide,"[ESC to hide]",""
label_rawLogs,"Raw Miner Logs:",""
label_hideLogs,"Hide","",
text.hashrate,"Hashrate",""
text.workers,"Worker",""
text.temp,"Temperature",""
text.fan,"Fan RPM",""